id,inputType,content,instruction,status,rawResult,createdAt,updatedAt
1,natural_language,客户问物流延迟时，要先安抚，再询问订单号。,,generated,"{""summary"":""物流延迟场景下，应先安抚客户情绪，再询问订单号，并说明会协助核实物流状态。"",""knowledgeSuggestions"":[{""title"":""物流延迟处理说明"",""content"":""物流延迟可能由仓库发货、快递揽收、运输中转、派送异常等原因导致，客服需要先安抚客户并收集订单信息。"",""keywords"":[""物流延迟"",""快递没到"",""物流不更新""],""category"":""物流""}],""ruleSuggestions"":[{""name"":""物流延迟优先安抚规则"",""trigger"":""客户提到快递未到、物流不更新、物流延迟等问题"",""triggerKeywords"":[""快递没到"",""物流不更新"",""物流延迟""],""action"":""先道歉安抚，再询问订单号，最后说明会协助查询物流状态"",""priority"":90,""riskLevel"":""low""}],""scriptSuggestions"":[{""scene"":""物流延迟"",""content"":""亲亲，非常抱歉让您久等了。我先帮您核实一下物流情况，麻烦您提供一下订单号。"",""tone"":""polite""}],""riskTips"":[{""scene"":""物流延迟"",""content"":""不要回复“你自己看物流”或“我也没办法”等推卸责任的表达。""}]}",2026-06-05T14:18:00.710Z,2026-06-05T14:18:00.710Z
2,natural_language,�ͻ��������ӳ�ʱ��Ҫ�Ȱ�������ѯ�ʶ����š�,,generated,"{""summary"":""应根据客户问题先理解诉求，再礼貌回应，并在不确定时引导人工进一步核实。"",""knowledgeSuggestions"":[{""title"":""通用客服沟通原则"",""content"":""客服回复应保持礼貌、准确、简洁，不推卸责任，不随意承诺超出政策范围的补偿。"",""keywords"":[""客服沟通"",""礼貌"",""不推卸责任""],""category"":""通用""}],""ruleSuggestions"":[{""name"":""通用礼貌回应规则"",""trigger"":""客户提出问题或表达不满"",""triggerKeywords"":[""怎么回事"",""为什么"",""不满意""],""action"":""先表达理解，再说明会协助处理，必要时进一步询问信息"",""priority"":50,""riskLevel"":""low""}],""scriptSuggestions"":[{""scene"":""通用咨询"",""content"":""您好，非常理解您的情况，我这边先帮您核实一下，请您稍等。"",""tone"":""polite""}],""riskTips"":[{""scene"":""通用客服"",""content"":""不要使用冷漠、推卸责任或带有攻击性的表达。""}]}",2026-06-05T15:18:34.156Z,2026-06-05T15:18:34.156Z
3,natural_language,客户询问物流时，直接询问订单号,请从以上内容中总结客服辅助 Agent 可以学习的知识点、处理规则、推荐话术和风险提示。,generated,"{""summary"":""物流延迟场景下，应先安抚客户情绪，再询问订单号，并说明会协助核实物流状态。"",""knowledgeSuggestions"":[{""title"":""物流延迟处理说明"",""content"":""物流延迟可能由仓库发货、快递揽收、运输中转、派送异常等原因导致，客服需要先安抚客户并收集订单信息。"",""keywords"":[""物流延迟"",""快递没到"",""物流不更新""],""category"":""物流""}],""ruleSuggestions"":[{""name"":""物流延迟优先安抚规则"",""trigger"":""客户提到快递未到、物流不更新、物流延迟等问题"",""triggerKeywords"":[""快递没到"",""物流不更新"",""物流延迟""],""action"":""先道歉安抚，再询问订单号，最后说明会协助查询物流状态"",""priority"":90,""riskLevel"":""low""}],""scriptSuggestions"":[{""scene"":""物流延迟"",""content"":""亲亲，非常抱歉让您久等了。我先帮您核实一下物流情况，麻烦您提供一下订单号。"",""tone"":""polite""}],""riskTips"":[{""scene"":""物流延迟"",""content"":""不要回复「你自己看物流」或「我也没办法」等推卸责任的表达。""}]}",2026-06-05T15:25:48.075Z,2026-06-05T15:25:48.075Z
4,natural_language,客服不能称呼客户“亲亲”，必须称呼“会员”,请从以上内容中总结客服辅助 Agent 可以学习的知识点、处理规则、推荐话术和风险提示。,generated,"{""summary"":""应根据客户问题先理解诉求，再礼貌回应，并在不确定时引导人工进一步核实。"",""knowledgeSuggestions"":[{""title"":""通用客服沟通原则"",""content"":""客服回复应保持礼貌、准确、简洁，不推卸责任，不随意承诺超出政策范围的补偿。"",""keywords"":[""客服沟通"",""礼貌"",""不推卸责任""],""category"":""通用""}],""ruleSuggestions"":[{""name"":""通用礼貌回应规则"",""trigger"":""客户提出问题或表达不满"",""triggerKeywords"":[""怎么回事"",""为什么"",""不满意""],""action"":""先表达理解，再说明会协助处理，必要时进一步询问信息"",""priority"":50,""riskLevel"":""low""}],""scriptSuggestions"":[{""scene"":""通用咨询"",""content"":""您好，非常理解您的情况，我这边先帮您核实一下，请您稍等。"",""tone"":""polite""}],""riskTips"":[{""scene"":""通用客服"",""content"":""不要使用冷漠、推卸责任或带有攻击性的表达。""}]}",2026-06-05T15:31:56.071Z,2026-06-05T15:31:56.071Z
5,natural_language,客服不能称呼客户“亲亲”，必须称呼“会员”,请从以上内容中总结客服辅助 Agent 可以学习的知识点、处理规则、推荐话术和风险提示。,generated,"{""summary"":""应根据客户问题先理解诉求，再礼貌回应，并在不确定时引导人工进一步核实。"",""knowledgeSuggestions"":[{""title"":""通用客服沟通原则"",""content"":""客服回复应保持礼貌、准确、简洁，不推卸责任，不随意承诺超出政策范围的补偿。"",""keywords"":[""客服沟通"",""礼貌"",""不推卸责任""],""category"":""通用""}],""ruleSuggestions"":[{""name"":""通用礼貌回应规则"",""trigger"":""客户提出问题或表达不满"",""triggerKeywords"":[""怎么回事"",""为什么"",""不满意""],""action"":""先表达理解，再说明会协助处理，必要时进一步询问信息"",""priority"":50,""riskLevel"":""low""}],""scriptSuggestions"":[{""scene"":""通用咨询"",""content"":""您好，非常理解您的情况，我这边先帮您核实一下，请您稍等。"",""tone"":""polite""}],""riskTips"":[{""scene"":""通用客服"",""content"":""不要使用冷漠、推卸责任或带有攻击性的表达。""}]}",2026-06-05T15:31:58.640Z,2026-06-05T15:31:58.640Z
6,natural_language,客服不能称呼客户“亲亲”，必须称呼“会员”,请从以上内容中总结客服辅助 Agent 可以学习的知识点、处理规则、推荐话术和风险提示。,generated,"{""summary"":""应根据客户问题先理解诉求，再礼貌回应，并在不确定时引导人工进一步核实。"",""knowledgeSuggestions"":[{""title"":""通用客服沟通原则"",""content"":""客服回复应保持礼貌、准确、简洁，不推卸责任，不随意承诺超出政策范围的补偿。"",""keywords"":[""客服沟通"",""礼貌"",""不推卸责任""],""category"":""通用""}],""ruleSuggestions"":[{""name"":""通用礼貌回应规则"",""trigger"":""客户提出问题或表达不满"",""triggerKeywords"":[""怎么回事"",""为什么"",""不满意""],""action"":""先表达理解，再说明会协助处理，必要时进一步询问信息"",""priority"":50,""riskLevel"":""low""}],""scriptSuggestions"":[{""scene"":""通用咨询"",""content"":""您好，非常理解您的情况，我这边先帮您核实一下，请您稍等。"",""tone"":""polite""}],""riskTips"":[{""scene"":""通用客服"",""content"":""不要使用冷漠、推卸责任或带有攻击性的表达。""}]}",2026-06-05T15:32:18.075Z,2026-06-05T15:32:18.075Z
7,natural_language,客服不能称呼客户“亲亲”，必须称呼“会员”,请从以上内容中总结客服辅助 Agent 可以学习的知识点、处理规则、推荐话术和风险提示。,generated,"{""summary"":""应根据客户问题先理解诉求，再礼貌回应，并在不确定时引导人工进一步核实。"",""knowledgeSuggestions"":[{""title"":""通用客服沟通原则"",""content"":""客服回复应保持礼貌、准确、简洁，不推卸责任，不随意承诺超出政策范围的补偿。"",""keywords"":[""客服沟通"",""礼貌"",""不推卸责任""],""category"":""通用""}],""ruleSuggestions"":[{""name"":""通用礼貌回应规则"",""trigger"":""客户提出问题或表达不满"",""triggerKeywords"":[""怎么回事"",""为什么"",""不满意""],""action"":""先表达理解，再说明会协助处理，必要时进一步询问信息"",""priority"":50,""riskLevel"":""low""}],""scriptSuggestions"":[{""scene"":""通用咨询"",""content"":""您好，非常理解您的情况，我这边先帮您核实一下，请您稍等。"",""tone"":""polite""}],""riskTips"":[{""scene"":""通用客服"",""content"":""不要使用冷漠、推卸责任或带有攻击性的表达。""}]}",2026-06-05T15:32:23.674Z,2026-06-05T15:32:23.674Z
8,natural_language,客服不能称呼客户“亲亲”，必须称呼“会员”,请从以上内容中总结客服辅助 Agent 可以学习的知识点、处理规则、推荐话术和风险提示。,generated,"{""summary"":""应根据客户问题先理解诉求，再礼貌回应，并在不确定时引导人工进一步核实。"",""knowledgeSuggestions"":[{""title"":""通用客服沟通原则"",""content"":""客服回复应保持礼貌、准确、简洁，不推卸责任，不随意承诺超出政策范围的补偿。"",""keywords"":[""客服沟通"",""礼貌"",""不推卸责任""],""category"":""通用""}],""ruleSuggestions"":[{""name"":""通用礼貌回应规则"",""trigger"":""客户提出问题或表达不满"",""triggerKeywords"":[""怎么回事"",""为什么"",""不满意""],""action"":""先表达理解，再说明会协助处理，必要时进一步询问信息"",""priority"":50,""riskLevel"":""low""}],""scriptSuggestions"":[{""scene"":""通用咨询"",""content"":""您好，非常理解您的情况，我这边先帮您核实一下，请您稍等。"",""tone"":""polite""}],""riskTips"":[{""scene"":""通用客服"",""content"":""不要使用冷漠、推卸责任或带有攻击性的表达。""}]}",2026-06-05T15:32:24.374Z,2026-06-05T15:32:24.374Z
9,natural_language,客服不能称呼客户“亲亲”，必须称呼“会员”,请从以上内容中总结客服辅助 Agent 可以学习的知识点、处理规则、推荐话术和风险提示。,generated,"{""summary"":""本次学习要点：客服在与客户交流时，禁止使用‘亲亲’等非正式称呼，必须统一使用‘会员’作为对客户的尊称，以维护品牌形象和专业性，提升客户体验。"",""knowledgeSuggestions"":[{""title"":""客户称呼规范"",""content"":""客服在与客户沟通时，应使用统一、正式的称呼。根据公司规定，所有客户必须称呼为‘会员’，避免使用‘亲亲’、‘亲’、‘你好’等非正式或泛化称呼。正确称呼有助于建立专业形象，增强客户信任感，同时符合服务标准化的要求。"",""keywords"":[""称呼规范"",""会员"",""客服用语""],""category"":""通用""}],""ruleSuggestions"":[{""name"":""禁止使用“亲亲”称呼规则"",""trigger"":""客户对话中，客服输入了‘亲亲’、‘亲’等非规范称呼"",""triggerKeywords"":[""亲亲"",""亲"",""亲爱的""],""action"":""自动触发提醒，要求客服立即改用‘会员’进行称呼。若连续出现错误，系统可记录违规并通知主管。"",""priority"":80,""riskLevel"":""medium""}],""scriptSuggestions"":[{""scene"":""客服首次与客户交流或需要使用称呼时"",""content"":""您好，会员，感谢您的咨询，请问有什么可以帮您？"",""tone"":""polite""},{""scene"":""客服误用了‘亲亲’后需要纠正"",""content"":""抱歉，刚才称呼有误。您好，会员，请允许我重新为您服务，您的问题我们马上处理。"",""tone"":""friendly""}],""riskTips"":[{""scene"":""客服在开场白或对话中随意使用‘亲亲’称呼客户"",""content"":""使用‘亲亲’等非规范称呼可能让客户感到不专业或不尊重，尤其遇到严肃或投诉场景时容易引发不满，同时违反公司服务规范，可能导致惩戒或培训处罚。请务必统一使用‘会员’称呼。""}]}",2026-06-05T15:43:25.730Z,2026-06-05T15:43:25.730Z
10,natural_language,开头语是您好，我是您的专属客服，很高兴为您服务~,请从以上内容中总结客服辅助 Agent 可以学习的知识点、处理规则、推荐话术和风险提示。,generated,"{""summary"":""本次学习内容明确了客服开场白标准用语为“您好，我是您的专属客服，很高兴为您服务~”，强调“专属客服”概念以提升客户服务体验和个性化感知，客服需以此话术作为服务开端，并注意避免过度承诺或误导客户。"",""knowledgeSuggestions"":[{""title"":""开场白标准用语"",""content"":""客服在首次接触客户时，必须使用标准开场白：“您好，我是您的专属客服，很高兴为您服务~”。其中“专属客服”表示该客服将专门负责该客户的咨询与问题处理，增强客户信任感。"",""keywords"":[""开场白"",""专属客服"",""标准用语""],""category"":""通用""}],""ruleSuggestions"":[{""name"":""开场白触发规则"",""trigger"":""客户发起对话或客服首次回复时的第一个消息"",""triggerKeywords"":[""首次回复"",""对话开始""],""action"":""必须使用标准开场白“您好，我是您的专属客服，很高兴为您服务~”"",""priority"":90,""riskLevel"":""low""}],""scriptSuggestions"":[{""scene"":""客服与客户首次接触时"",""content"":""您好，我是您的专属客服，很高兴为您服务~"",""tone"":""friendly""}],""riskTips"":[{""scene"":""使用“专属客服”一词时"",""content"":""注意“专属客服”可能会让客户期待后续所有服务均由同一人提供，若实际无法满足该承诺，可能导致客户不满。需在服务过程中明确提示客户服务转接的可能性，避免产生误解。""}]}",2026-06-06T03:14:34.819Z,2026-06-06T03:14:34.819Z
