id,learningTaskId,type,status,payload,targetId,reviewedAt,createdAt,updatedAt
1,0,knowledge,approved,"{""title"":""开头语"",""content"":""您好，我是您的专属客服，很高兴为您服务~"",""keywords"":[""您好"",""我是您的专属客服"",""很高兴为您服务""],""category"":""通用""}",137,2026-06-06T06:50:17.987Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.987Z
2,0,knowledge,approved,"{""title"":""承接语"",""content"":""您好，请问还有其他需要为您服务的吗？"",""keywords"":[""您好""],""category"":""通用""}",136,2026-06-06T06:50:17.980Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.980Z
3,0,knowledge,approved,"{""title"":""结束语"",""content"":""感谢您对山姆会员商店的支持，祝您生活愉快，再见！"",""keywords"":[""祝您生活愉快"",""再见""],""category"":""通用""}",135,2026-06-06T06:50:17.972Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.972Z
4,0,knowledge,approved,"{""title"":""等待语"",""content"":""尊敬的会员，为了更好更准确地解答您的问题，需要为您核实一下，可能需要一点时间，请您耐心等待哦～"",""keywords"":[""尊敬的会员"",""需要为您核实一下"",""可能需要一点时间"",""请您耐心等待哦""],""category"":""通用""}",134,2026-06-06T06:50:17.963Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.963Z
5,0,knowledge,approved,"{""title"":"""",""content"":"""",""keywords"":[""客服""],""category"":""通用""}",133,2026-06-06T06:50:17.955Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.955Z
6,0,knowledge,approved,"{""title"":""等待歉语"",""content"":""非常抱歉让您久等了，感谢您的理解与支持"",""keywords"":[""客服""],""category"":""通用""}",132,2026-06-06T06:50:17.947Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.947Z
7,0,knowledge,approved,"{""title"":""非常感谢您的耐心等待"",""content"":""非常感谢您的耐心等待"",""keywords"":[""客服""],""category"":""通用""}",131,2026-06-06T06:50:17.939Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.939Z
8,0,knowledge,approved,"{""title"":""问卡号"",""content"":""为了保证会员信息安全，辛苦您提供一下您的会员卡号，我为您处理问题"",""keywords"":[""我为您处理问题""],""category"":""通用""}",130,2026-06-06T06:50:17.932Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.932Z
9,0,knowledge,approved,"{""title"":""非食安工单联系时效"",""content"":""这边为您反馈后，预计24小时内会通过短信或者电话的形式联系您，辛苦您保持电话畅通"",""keywords"":[""这边为您反馈后""],""category"":""通用""}",129,2026-06-06T06:50:17.923Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.923Z
10,0,knowledge,approved,"{""title"":""邀评1"",""content"":""为您服务是我的荣幸，这都是我应该做的 。若有所怠慢的地方，还请多多担怠海涵，如果您对我们的服务满意，烦请您在稍后推送的服务评价中给个鼓励哦~"",""keywords"":[""这都是我应该做的"",""若有所怠慢的地方"",""还请多多担怠海涵""],""category"":""通用""}",128,2026-06-06T06:50:17.916Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:17.916Z
11,0,knowledge,approved,"{""title"":""建议1"",""content"":""非常理解您的心情，您也是我们的会员用户，肯定经常购买我们的产品，您说的这个我了解了，你们的需求我们都会收集下来，也是作为提升咱们会员满意度的建议～"",""keywords"":[""非常理解您的心情""],""category"":""通用""}",127,2026-06-06T06:50:15.458Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:15.458Z
12,0,knowledge,approved,"{""title"":""建议2"",""content"":""亲爱的会员，我也会作为消费者所以非常能理解您的心情，客服会把您的情况反应到相关部门加强优化。"",""keywords"":[""亲爱的会员""],""category"":""通用""}",126,2026-06-06T06:50:15.450Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:15.450Z
13,0,knowledge,approved,"{""title"":""建议3"",""content"":""您好，非常抱歉给您带来的不便，感谢您一直的支持，我们也会尽力优化流程，争取给您带来更好的客户体验~"",""keywords"":[""您好"",""感谢您一直的支持""],""category"":""通用""}",125,2026-06-06T06:50:15.443Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:15.443Z
14,0,knowledge,approved,"{""title"":""普通安抚1"",""content"":""非常抱歉给您带来不便，同样作为消费者，我与您感同身受，我们非常渴望得到您的支持与理解，我们也会不断的改善。"",""keywords"":[""同样作为消费者"",""我与您感同身受""],""category"":""通用""}",124,2026-06-06T06:50:15.437Z,2026-06-06T03:35:39.246Z,2026-06-06T06:50:15.437Z
