id,title,content,keywords,category,status,sourceReviewId,createdAt,updatedAt
1,物流延迟处理说明,物流延迟可能由仓库发货、快递揽收、运输中转、派送异常等原因导致，客服需要先安抚客户并收集订单信息。,"[""物流延迟"",""快递没到"",""物流不更新""]",物流,active,1,2026-06-05T14:18:00.724Z,2026-06-06T08:17:07.827Z
2,通用客服沟通原则,客服回复应保持礼貌、准确、简洁，不推卸责任，不随意承诺超出政策范围的补偿。,"[""客服沟通"",""礼貌"",""不推卸责任""]",通用,active,5,2026-06-05T15:18:50.980Z,2026-06-05T15:18:50.980Z
3,开场白标准用语,客服在首次接触客户时，必须使用标准开场白：“您好，我是您的专属客服，很高兴为您服务~”。其中“专属客服”表示该客服将专门负责该客户的咨询与问题处理，增强客户信任感。,"[""开场白"",""专属客服"",""标准用语""]",通用,active,38,2026-06-06T03:14:57.579Z,2026-06-06T03:14:57.579Z
4,开头语,您好，我是您的专属客服，很高兴为您服务~,"[""开头语"",""问候"",""专属客服""]",通用,active,42,2026-06-06T03:24:49.326Z,2026-06-06T03:24:49.326Z
5,承接语,您好，请问还有其他需要为您服务的吗？,"[""承接语"",""询问需求"",""继续服务""]",通用,active,43,2026-06-06T03:24:49.330Z,2026-06-06T03:24:49.330Z
6,结束语,感谢您对山姆会员商店的支持，祝您生活愉快，再见！,"[""结束语"",""致谢"",""再见""]",通用,active,44,2026-06-06T03:24:49.334Z,2026-06-06T03:24:49.334Z
7,等待语,尊敬的会员，为了更好更准确地解答您的问题，需要为您核实一下，可能需要一点时间，请您耐心等待哦～,"[""等待语"",""核实"",""耐心等待""]",通用,active,45,2026-06-06T03:24:49.337Z,2026-06-06T03:24:49.337Z
8,小票显示**缺货,会员您好，根据您提供的小票显示该商品是缺货的，所以未给您配送，您别担心，系统会与24小时将缺货的商品款项退至您下单的支付方式里,"[""会员您好"",""所以未给您配送"",""您别担心""]",商品,active,120,2026-06-06T06:49:36.407Z,2026-06-06T08:51:02.836Z
9,提供信息,您现在方便提供一下【外箱+商品6面的照片或者视频+面单或小票信息】吗？我帮您记录反馈,"[""我帮您记录反馈""]",安抚反馈,active,119,2026-06-06T06:49:36.416Z,2026-06-06T08:51:04.550Z
10,缺少某一样商品,会员您先别着急，请问商品您是当面签收的吗？,"[""会员您先别着急""]",安抚反馈,active,118,2026-06-06T06:49:36.425Z,2026-06-06T08:51:06.126Z
11,用户不认可自己拿快递,基于您的会员服务和您的购物体验，为您申请*元网购优惠券，满*.01元即可使用，优惠券不支持叠加使用（门店和全球购商品不支持使用），使用期限60天，24小时内到账，您看可以吗？,"[""使用期限60天"",""24小时内到账"",""您看可以吗""]",安抚反馈,active,117,2026-06-06T06:49:36.434Z,2026-06-06T08:51:08.071Z
12,拿到了,嗯嗯，确实抱歉给您带来了不好的体验，您反馈的这个问题我们非常重视，会马上为您记录，完善优化用户体验,"[""嗯嗯"",""会马上为您记录"",""完善优化用户体验""]",安抚反馈,active,116,2026-06-06T06:49:36.443Z,2026-06-06T08:51:14.059Z
13,没拿到，要配送员送上来,非常抱歉给您带来了不好的体验，您的这个问题我已经了解，我会马上为您反馈，您保持手机畅通,"[""我会马上为您反馈"",""您保持手机畅通""]",物流,active,115,2026-06-06T06:49:36.451Z,2026-06-06T08:51:16.687Z
14,确认商品是否签收,非常抱歉给您带来了不好的体验，请问现在商品是否拿到了呢？,"[""客服""]",物流,active,114,2026-06-06T06:49:36.459Z,2026-06-06T08:51:17.983Z
15,用户不愿自己联系/联系不上,好的，那我马上为您反馈，还请您保持手机畅通，配送员配送时会再次电话联系您,"[""好的"",""那我马上为您反馈""]",物流,active,113,2026-06-06T06:49:36.465Z,2026-06-06T08:51:19.376Z
16,还需要,好的，了解您的情况了，您可以先联系配送员让他重新为您配送,"[""好的"",""了解您的情况了""]",通用,inactive,112,2026-06-06T06:49:36.470Z,2026-06-06T08:50:36.875Z
17,不需要了,好的，了解您的诉求了，商品退回仓库后我们就会为您处理退款，预计24小时左右到账，还请您注意查收,"[""好的"",""了解您的诉求了"",""还请您注意查收""]",通用,active,111,2026-06-06T06:49:36.476Z,2026-06-06T06:49:36.476Z
18,【使用了运费券】您退货的这个情…,【使用了运费券】您退货的这个情况我们已经了解，基于您的会员服务和您的购物体验，为您申请*元网购优惠券，满*.01元即可使用，优惠券不支持叠加使用（门店和全球购商品不支持使用），使用期限60天，24小时内到账，您看可以吗？,"[""使用期限60天"",""24小时内到账"",""您看可以吗""]",物流,active,130,2026-06-06T06:49:47.577Z,2026-06-06T08:50:21.693Z
19,【商品破损严重】抱歉让你久等了…,【商品破损严重】抱歉让你久等了，您反馈的这个问题建议您在订单里申请售后，然后重新下单，非常抱歉给您带来不便了,"[""然后重新下单""]",安抚反馈,active,129,2026-06-06T06:49:47.583Z,2026-06-06T08:50:20.268Z
